province,district_name,constituency,party,votes,winner,election_year
Koshi,Jhapa,5,नेपाल मजदुर किसान पार्टी,250,False,2079
Koshi,Jhapa,5,Independent,224,False,2079
Koshi,Jhapa,5,राष्ट्रिय जनमुक्ति पार्टी,214,False,2079
Koshi,Jhapa,5,Independent,165,False,2079
Koshi,Jhapa,5,"लोकतान्त्रिक समाजवादी पार्टी, नेपाल",105,False,2079
Koshi,Jhapa,5,नेश्नलिष्ट पिपल्स पार्टी,88,False,2079
Koshi,Jhapa,5,Independent,81,False,2079
Koshi,Jhapa,5,Independent,70,False,2079
Koshi,Jhapa,5,Independent,63,False,2079
Koshi,Jhapa,5,Independent,57,False,2079
Koshi,Jhapa,5,NC (BP),51,False,2079
Koshi,Jhapa,5,Independent,50,False,2079
Koshi,Jhapa,5,सचेत नेपाली पार्टी(एकल चुनाव चिन्ह),49,False,2079
Koshi,Jhapa,5,Independent,41,False,2079
Koshi,Jhapa,5,Independent,20,False,2079
Koshi,Jhapa,5,Independent,13,False,2079
Koshi,Jhapa,5,Independent,13,False,2079
Koshi,Sankhuwasabha,1,NC,32161,True,2079
Koshi,Sankhuwasabha,1,NCP,26721,False,2079
Koshi,Sankhuwasabha,1,RSP,1136,False,2079
Koshi,Sankhuwasabha,1,Janata Samajwadi Party Nepal,811,False,2079
Koshi,Sankhuwasabha,1,Independent,532,False,2079
Koshi,Sankhuwasabha,1,मंगोल नेशनल अर्गनाइजेसन,422,False,2079
Koshi,Sankhuwasabha,1,RSP,308,False,2079
Koshi,Sankhuwasabha,1,राष्ट्रिय प्रजातन्त्र पार्टी नेपाल,152,False,2079
Koshi,Sankhuwasabha,1,Federal Democratic National Forum,139,False,2079
Koshi,Sankhuwasabha,1,Independent,131,False,2079
Koshi,Sankhuwasabha,1,राष्ट्रिय जनमुक्ति पार्टी,46,False,2079
Koshi,Sankhuwasabha,1,नेश्नलिष्ट पिपल्स पार्टी,26,False,2079
Koshi,Terhathum,1,NC,19707,True,2079
Koshi,Terhathum,1,NCP,18631,False,2079
Koshi,Terhathum,1,Federal Democratic National Forum,725,False,2079
Koshi,Terhathum,1,RSP,415,False,2079
Koshi,Terhathum,1,Janata Samajwadi Party Nepal,118,False,2079
Koshi,Terhathum,1,राष्ट्रिय प्रजातन्त्र पार्टी नेपाल,83,False,2079
Koshi,Terhathum,1,मंगोल नेशनल अर्गनाइजेसन,82,False,2079
Koshi,Terhathum,1,Independent,57,False,2079
Koshi,Terhathum,1,राष्ट्रिय जनमुक्ति पार्टी,54,False,2079
Koshi,Terhathum,1,NCP मार्क्सवादी (पुष्पलाल),29,False,2079
Koshi,Bhojpur,1,CPN-Maoist Centre,28591,True,2079
Koshi,Bhojpur,1,NCP,26202,False,2079
Koshi,Bhojpur,1,नेपालका लागि नेपाली पार्टी,1087,False,2079
Koshi,Bhojpur,1,Janata Samajwadi Party Nepal,943,False,2079
Koshi,Bhojpur,1,RSP,500,False,2079
Koshi,Bhojpur,1,मंगोल नेशनल अर्गनाइजेसन,386,False,2079
Koshi,Bhojpur,1,RSP,297,False,2079
Koshi,Bhojpur,1,हाम्रो नेपाली पार्टी,252,False,2079
Koshi,Bhojpur,1,खम्बुवान राष्ट्रिय मोर्चा नेपाल,162,False,2079
Koshi,Bhojpur,1,Independent,124,False,2079
Koshi,Bhojpur,1,Independent,105,False,2079
Koshi,Bhojpur,1,Independent,36,False,2079
Koshi,Dhankuta,1,NCP,30101,True,2079
Koshi,Dhankuta,1,NC,28704,False,2079
Koshi,Dhankuta,1,Independent,5926,False,2079
Koshi,Dhankuta,1,RSP,1059,False,2079
Koshi,Dhankuta,1,Federal Democratic National Forum,625,False,2079
Koshi,Dhankuta,1,मंगोल नेशनल अर्गनाइजेसन,217,False,2079
Koshi,Dhankuta,1,एकीकृत शक्ति नेपाल,95,False,2079
Koshi,Morang,1,NC,27297,True,2079
Koshi,Morang,1,NCP,26867,False,2079
Koshi,Morang,1,RSP,8063,False,2079
Koshi,Morang,1,RSP,4667,False,2079
Koshi,Morang,1,मंगोल नेशनल अर्गनाइजेसन,2218,False,2079
Koshi,Morang,1,Federal Democratic National Forum,711,False,2079
Koshi,Morang,1,हाम्रो नेपाली पार्टी,474,False,2079
Koshi,Morang,1,Independent,196,False,2079
Koshi,Morang,1,राष्ट्रिय जनमुक्ति पार्टी,62,False,2079
Koshi,Morang,1,नेपाल मजदुर किसान पार्टी,46,False,2079
Koshi,Morang,1,Independent,27,False,2079
Koshi,Morang,1,Independent,21,False,2079
Koshi,Morang,1,Independent,21,False,2079
Koshi,Morang,1,Independent,6,False,2079
Koshi,Morang,2,NCP,33148,True,2079
Koshi,Morang,2,NC,31940,False,2079
Koshi,Morang,2,RSP,4987,False,2079
Koshi,Morang,2,RSP,2745,False,2079
Koshi,Morang,2,हाम्रो नेपाली पार्टी,1457,False,2079
Koshi,Morang,2,मंगोल नेशनल अर्गनाइजेसन,424,False,2079
Koshi,Morang,2,"लोकतान्त्रिक समाजवादी पार्टी, नेपाल",334,False,2079
Koshi,Morang,2,Federal Democratic National Forum,219,False,2079
Koshi,Morang,2,Independent,207,False,2079
Koshi,Morang,2,Independent,118,False,2079
Koshi,Morang,2,नेपाल मजदुर किसान पार्टी,38,False,2079
Koshi,Morang,2,नेश्नलिष्ट पिपल्स पार्टी,27,False,2079
Koshi,Morang,2,Independent,22,False,2079
Koshi,Morang,3,NC,48631,True,2079
Koshi,Morang,3,NCP,25895,False,2079
Koshi,Morang,3,RSP,10998,False,2079
Koshi,Morang,3,RSP,3172,False,2079
Koshi,Morang,3,मंगोल नेशनल अर्गनाइजेसन,1520,False,2079
Koshi,Morang,3,Federal Democratic National Forum,453,False,2079
Koshi,Morang,3,Independent,388,False,2079
Koshi,Morang,3,हाम्रो नेपाली पार्टी,326,False,2079
Koshi,Morang,3,NCP (मार्क्सवादी लेनिनवादी),234,False,2079
Koshi,Morang,3,Independent,110,False,2079
Koshi,Morang,3,Independent,74,False,2079
Koshi,Morang,3,Independent,63,False,2079
Koshi,Morang,3,Independent,61,False,2079
Koshi,Morang,3,नेपाल मजदुर किसान पार्टी,46,False,2079
Koshi,Morang,3,Janata Samajwadi Party Nepal,38,False,2079
Koshi,Morang,3,Independent,37,False,2079
Koshi,Morang,3,Independent,31,False,2079
Koshi,Morang,3,Independent,25,False,2079
Koshi,Morang,3,नेश्नलिष्ट पिपल्स पार्टी,21,False,2079
Koshi,Morang,3,"लोकतान्त्रिक समाजवादी पार्टी, नेपाल",18,False,2079
Koshi,Morang,3,Independent,10,False,2079
Koshi,Morang,3,Independent,10,False,2079
Koshi,Morang,3,Independent,8,False,2079
Koshi,Morang,3,Independent,8,False,2079
Koshi,Morang,3,Independent,7,False,2079
Koshi,Morang,3,Independent,6,False,2079
Koshi,Morang,3,Independent,4,False,2079
Koshi,Morang,3,Independent,4,False,2079
Koshi,Morang,3,Independent,2,False,2079
Koshi,Morang,3,Independent,1,False,2079
Koshi,Morang,3,Independent,1,False,2079
Koshi,Morang,4,CPN-Maoist Centre,30612,True,2079
Koshi,Morang,4,NCP,24463,False,2079
Koshi,Morang,4,RSP,7468,False,2079
Koshi,Morang,4,RSP,5333,False,2079
Koshi,Morang,4,हाम्रो नेपाली पार्टी,885,False,2079
Koshi,Morang,4,Independent,278,False,2079
Koshi,Morang,4,Independent,265,False,2079
Koshi,Morang,4,Independent,228,False,2079
Koshi,Morang,4,"लोकतान्त्रिक समाजवादी पार्टी, नेपाल",198,False,2079
Koshi,Morang,4,Independent,181,False,2079
Koshi,Morang,4,मंगोल नेशनल अर्गनाइजेसन,135,False,2079
Koshi,Morang,4,NC (BP),69,False,2079
Koshi,Morang,4,नेपाल मजदुर किसान पार्टी,63,False,2079
Koshi,Morang,4,Federal Democratic National Forum,51,False,2079
Koshi,Morang,4,Independent,27,False,2079
Koshi,Morang,4,Independent,27,False,2079
Koshi,Morang,5,Independent,21820,True,2079
Koshi,Morang,5,CPN-Maoist Centre,17486,False,2079
Koshi,Morang,5,Janata Samajwadi Party Nepal,17390,False,2079
Koshi,Morang,5,RSP,2479,False,2079
Koshi,Morang,5,जनमत पार्टी,2395,False,2079
Koshi,Morang,5,RSP,2282,False,2079
Koshi,Morang,5,Independent,1900,False,2079
Koshi,Morang,5,हाम्रो नेपाली पार्टी,794,False,2079
Koshi,Morang,5,Independent,314,False,2079
Koshi,Morang,5,Independent,112,False,2079
Koshi,Morang,5,Federal Democratic National Forum,103,False,2079
Koshi,Morang,5,Independent,96,False,2079
Koshi,Morang,5,नेपाल लोकतान्त्रिक पार्टी,88,False,2079
Koshi,Morang,5,Independent,46,False,2079
Koshi,Morang,5,Independent,45,False,2079
Koshi,Morang,5,Independent,30,False,2079
Koshi,Morang,6,NC,35224,True,2079
Koshi,Morang,6,NCP,22946,False,2079
Koshi,Morang,6,RSP,9140,False,2079
Koshi,Morang,6,RSP,8925,False,2079
Koshi,Morang,6,जनमत पार्टी,1844,False,2079
Koshi,Morang,6,Independent,900,False,2079
Koshi,Morang,6,नागरिक उन्मुक्ति पार्टी,508,False,2079
Koshi,Morang,6,हाम्रो नेपाली पार्टी,434,False,2079
Koshi,Morang,6,Independent,192,False,2079
Koshi,Morang,6,Federal Democratic National Forum,109,False,2079
Koshi,Morang,6,"जनता प्रगतिशिल पार्टी, नेपाल",59,False,2079
Koshi,Morang,6,मंगोल नेशनल अर्गनाइजेसन,42,False,2079
Koshi,Morang,6,नेपाल मजदुर किसान पार्टी,39,False,2079
Koshi,Morang,6,Independent,36,False,2079
Koshi,Morang,6,बहुजन शक्ति पार्टी,28,False,2079
Koshi,Sunsari,1,Janata Samajwadi Party Nepal,17059,True,2079
Koshi,Sunsari,1,RSP,16606,False,2079
Koshi,Sunsari,1,CPN-Maoist Centre,13087,False,2079
Koshi,Sunsari,1,RSP,7884,False,2079
Koshi,Sunsari,1,Independent,7812,False,2079
Koshi,Sunsari,1,Independent,3818,False,2079
Koshi,Sunsari,1,Independent,1864,False,2079
Koshi,Sunsari,1,Independent,1760,False,2079
Koshi,Sunsari,1,Federal Democratic National Forum,715,False,2079
Koshi,Sunsari,1,Independent,367,False,2079
Koshi,Sunsari,1,Janata Samajwadi Party Nepal,349,False,2079
Koshi,Sunsari,1,जनमत पार्टी,305,False,2079
Koshi,Sunsari,1,किरात खम्बुवान साझा पार्टी,278,False,2079
Koshi,Sunsari,1,Independent,275,False,2079
Koshi,Sunsari,1,मंगोल नेशनल अर्गनाइजेसन,230,False,2079
Koshi,Sunsari,1,Independent,177,False,2079
Koshi,Sunsari,1,Independent,164,False,2079
Koshi,Sunsari,1,Independent,138,False,2079
Koshi,Sunsari,1,Independent,76,False,2079
Koshi,Sunsari,1,Independent,57,False,2079
Koshi,Sunsari,2,NCP,32024,True,2079
Koshi,Sunsari,2,NC,26068,False,2079
Koshi,Sunsari,2,RSP,19391,False,2079
Koshi,Sunsari,2,RSP,4269,False,2079
Koshi,Sunsari,2,जनमत पार्टी,1192,False,2079
Koshi,Sunsari,2,नागरिक उन्मुक्ति पार्टी,1162,False,2079
Koshi,Sunsari,2,नेपाल लोकतान्त्रिक पार्टी,1023,False,2079
Koshi,Sunsari,2,हाम्रो नेपाली पार्टी,691,False,2079
Koshi,Sunsari,2,Federal Democratic National Forum,460,False,2079
Koshi,Sunsari,2,मंगोल नेशनल अर्गनाइजेसन,384,False,2079
Koshi,Sunsari,2,Independent,375,False,2079
Koshi,Sunsari,2,"लोकतान्त्रिक समाजवादी पार्टी, नेपाल",308,False,2079
Koshi,Sunsari,2,Independent,251,False,2079
Koshi,Sunsari,2,Independent,177,False,2079
Koshi,Sunsari,2,मौलिक जरोकिलो पार्टी,141,False,2079
Koshi,Sunsari,2,Janata Samajwadi Party Nepal,108,False,2079
Koshi,Sunsari,2,NCP मार्क्सवादी (पुष्पलाल),107,False,2079
Koshi,Sunsari,2,राष्ट्रिय प्रजातन्त्र पार्टी नेपाल,97,False,2079
Koshi,Sunsari,2,Independent,73,False,2079
Koshi,Sunsari,2,Independent,69,False,2079
Koshi,Sunsari,2,विवेकशील साझा पार्टी,56,False,2079
Koshi,Sunsari,2,Independent,36,False,2079
Koshi,Sunsari,2,Independent,28,False,2079
Koshi,Sunsari,2,Independent,23,False,2079
Koshi,Sunsari,2,Independent,15,False,2079
Koshi,Sunsari,2,Independent,13,False,2079
Koshi,Sunsari,2,Independent,11,False,2079
Koshi,Sunsari,3,NCP,40788,True,2079
Koshi,Sunsari,3,NC,35600,False,2079
Koshi,Sunsari,3,RSP,6453,False,2079
Koshi,Sunsari,3,RSP,1903,False,2079
Koshi,Sunsari,3,हाम्रो नेपाली पार्टी,944,False,2079
Koshi,Sunsari,3,Independent,336,False,2079
Koshi,Sunsari,3,Federal Democratic National Forum,214,False,2079
Koshi,Sunsari,3,"लोकतान्त्रिक समाजवादी पार्टी, नेपाल",210,False,2079
Koshi,Sunsari,3,Independent,119,False,2079
Koshi,Sunsari,3,Independent,110,False,2079
Koshi,Sunsari,3,NC (BP),90,False,2079
Koshi,Sunsari,3,Independent,65,False,2079
Koshi,Sunsari,3,Independent,65,False,2079
Koshi,Sunsari,3,पिछडावर्ग निषाद दलित जनजाती पार्टी,54,False,2079
Koshi,Sunsari,3,राष्ट्रिय जनमुक्ति पार्टी,40,False,2079
Koshi,Sunsari,3,मौलिक जरोकिलो पार्टी,38,False,2079
Koshi,Sunsari,3,Independent,31,False,2079
Koshi,Sunsari,3,Independent,14,False,2079
Koshi,Sunsari,3,Independent,13,False,2079
Koshi,Sunsari,3,Independent,11,False,2079
Koshi,Sunsari,3,Independent,9,False,2079
Koshi,Sunsari,3,Independent,7,False,2079
Koshi,Sunsari,4,NC,30483,True,2079
Koshi,Sunsari,4,NCP,30371,False,2079
Koshi,Sunsari,4,RSP,3232,False,2079
Koshi,Sunsari,4,RSP,3181,False,2079
Koshi,Sunsari,4,Independent,2457,False,2079
Koshi,Sunsari,4,जनमत पार्टी,2153,False,2079
Koshi,Sunsari,4,"लोकतान्त्रिक समाजवादी पार्टी, नेपाल",1373,False,2079
Koshi,Sunsari,4,"जनता प्रगतिशिल पार्टी, नेपाल",409,False,2079
Koshi,Sunsari,4,Independent,147,False,2079
Koshi,Sunsari,4,राष्ट्रिय प्रजातन्त्र पार्टी नेपाल,102,False,2079
Koshi,Sunsari,4,Federal Democratic National Forum,87,False,2079
Koshi,Sunsari,4,NCP माओवादी समाजवादी,79,False,2079
Koshi,Sunsari,4,Independent,69,False,2079
Koshi,Sunsari,4,नेपालका लागि नेपाली पार्टी,56,False,2079
Koshi,Sunsari,4,Independent,44,False,2079
Koshi,Sunsari,4,Independent,39,False,2079
Koshi,Sunsari,4,एकीकृत शक्ति नेपाल,38,False,2079
Koshi,Sunsari,4,नेपाल मजदुर किसान पार्टी,21,False,2079
Koshi,Sunsari,4,Independent,19,False,2079
Koshi,Sunsari,4,Independent,15,False,2079
Koshi,Sunsari,4,Independent,11,False,2079
Koshi,Sunsari,4,Independent,11,False,2079
Koshi,Sunsari,4,Independent,9,False,2079
Koshi,Sunsari,4,Independent,9,False,2079
Koshi,Sunsari,4,Independent,8,False,2079
Koshi,Solukhumbu,1,NCP,19324,True,2079
Koshi,Solukhumbu,1,NC,16545,False,2079
Koshi,Solukhumbu,1,Janata Samajwadi Party Nepal,901,False,2079
Koshi,Solukhumbu,1,NCP (मार्क्सवादी लेनिनवादी),490,False,2079
Koshi,Solukhumbu,1,RSP,279,False,2079
Koshi,Solukhumbu,1,नेपाल मजदुर किसान पार्टी,138,False,2079
Koshi,Solukhumbu,1,मंगोल नेशनल अर्गनाइजेसन,107,False,2079
Koshi,Solukhumbu,1,Federal Democratic National Forum,26,False,2079
Koshi,Khotang,1,CPN-Maoist Centre,31351,True,2079
Koshi,Khotang,1,NCP,28682,False,2079
Koshi,Khotang,1,Janata Samajwadi Party Nepal,1914,False,2079
Koshi,Khotang,1,RSP,1761,False,2079
Koshi,Khotang,1,Independent,239,False,2079
Koshi,Khotang,1,आमूल परिवर्तन मसिहा पार्टी नेपाल,204,False,2079
Koshi,Khotang,1,नेपाल मजदुर किसान पार्टी,140,False,2079
Koshi,Khotang,1,मंगोल नेशनल अर्गनाइजेसन,131,False,2079
Koshi,Okhaldhunga,1,NC,33556,True,2079
Koshi,Okhaldhunga,1,NCP,26738,False,2079
Koshi,Okhaldhunga,1,Janata Samajwadi Party Nepal,897,False,2079
Koshi,Okhaldhunga,1,RSP,714,False,2079
Koshi,Okhaldhunga,1,मंगोल नेशनल अर्गनाइजेसन,356,False,2079
Koshi,Okhaldhunga,1,RSP,222,False,2079
Koshi,Okhaldhunga,1,नेपाल मजदुर किसान पार्टी,88,False,2079
Koshi,Okhaldhunga,1,Federal Democratic National Forum,14,False,2079
Koshi,Udayapur,1,NC,31270,True,2079
Koshi,Udayapur,1,NCP,28891,False,2079
Koshi,Udayapur,1,RSP,3915,False,2079
Koshi,Udayapur,1,RSP,3444,False,2079
Koshi,Udayapur,1,Janata Samajwadi Party Nepal,1906,False,2079
Koshi,Udayapur,1,NCP (मार्क्सवादी लेनिनवादी),637,False,2079
Koshi,Udayapur,1,मंगोल नेशनल अर्गनाइजेसन,442,False,2079
Koshi,Udayapur,1,नागरिक उन्मुक्ति पार्टी,206,False,2079
Koshi,Udayapur,1,सचेत नेपाली पार्टी(एकल चुनाव चिन्ह),182,False,2079
